"_id","username","email","password","yearBirth","phoneNumber","recommendedPlaces","reservedProperties","favouriteCity","avargePrice","role","creditCards","dateJoined","__v"
"684c124cb1e0125c6d6dac61","rahma.sayed","Rahma_Sayed@hotmail.com","$2b$10$Ai2ZaUyHhlWSmTMRlB5T7..HVU8NY1V3NF.rfWI6G7U9PxIVNozK2",1969,"751.407.4951 x81380","[""684c124eb1e0125c6d6db676"",""684c124db1e0125c6d6daeb5"",""684c124eb1e0125c6d6db3f3"",""684c124db1e0125c6d6db0bd"",""684c124db1e0125c6d6daefa""]","[""684c124db1e0125c6d6daf75"",""684c124db1e0125c6d6db130"",""684c124eb1e0125c6d6db218"",""684c124eb1e0125c6d6db228"",""684c124eb1e0125c6d6db46b""]","Minya",2958.8,"user","[]","2025-06-13T11:58:04.408Z",0
"684c124cb1e0125c6d6dac62","malak.sayed","Malak.Sayed94@hotmail.com","$2b$10$EOfeTyI0scV8.8QcS.QTEubAttIwxm5kU2oUYWWVeR2anAqvybg5m",1956,"(353) 776-5206 x2829","[""684c124eb1e0125c6d6db607"",""684c124eb1e0125c6d6db1e8"",""684c124db1e0125c6d6daf2b"",""684c124db1e0125c6d6db118"",""684c124eb1e0125c6d6db58d""]","[""684c124db1e0125c6d6db1b0"",""684c124eb1e0125c6d6db4e5"",""684c124eb1e0125c6d6db606""]","Mansoura",8174.31,"user","[]","2025-06-13T11:58:04.411Z",0
"684c124cb1e0125c6d6dac63","hana.ibrahim","Hana.Ibrahim@yahoo.com","$2b$10$4fAh6BiJj2so/MAYlGWMDuKHyeVZHYXYqbcbqQzCDM1hihP6FQtqW",1959,"654-501-3290 x0905","[""684c124eb1e0125c6d6db5ca"",""684c124eb1e0125c6d6db327"",""684c124eb1e0125c6d6db64d"",""684c124db1e0125c6d6daea9"",""684c124eb1e0125c6d6db2ad""]","[""684c124db1e0125c6d6daf04"",""684c124eb1e0125c6d6db2ba""]","Banha",5328.4,"user","[]","2025-06-13T11:58:04.412Z",0
"684c124cb1e0125c6d6dac64","dina.shaker","Dina_Shaker65@yahoo.com","$2b$10$UltXuQIARJ8gZQeQQ97efe/k5ElpL5c3a0irJPoXXpGylmXanhWXK",1962,"(959) 761-1710 x0586","[""684c124eb1e0125c6d6db637"",""684c124eb1e0125c6d6db33d"",""684c124eb1e0125c6d6db6a3"",""684c124eb1e0125c6d6db73a"",""684c124eb1e0125c6d6db3c0""]","[""684c124db1e0125c6d6daf1b"",""684c124db1e0125c6d6db0ec""]","Giza",6215.07,"user","[]","2025-06-13T11:58:04.412Z",0
"684c124cb1e0125c6d6dac65","mahmoud.haggag","Mahmoud.Haggag@gmail.com","$2b$10$uOkQjG5hsfzB1Lvz0nTmI.OIJxZzge8Qzwm91GcXIf0LmixN3QKUm",1954,"1-974-965-8996","[""684c124db1e0125c6d6db054"",""684c124eb1e0125c6d6db48b"",""684c124eb1e0125c6d6db62f"",""684c124eb1e0125c6d6db283"",""684c124eb1e0125c6d6db6ee""]","[""684c124eb1e0125c6d6db403"",""684c124eb1e0125c6d6db66e""]","Suez",8922.62,"user","[]","2025-06-13T11:58:04.412Z",0
"684c124cb1e0125c6d6dac66","souad.el-masry","Souad.El-Masry37@hotmail.com","$2b$10$NNg9Dun9qSryF1uOkqLXF.vxBZb6THg3PUokO1cK0WBFQropbeb0C",1963,"(536) 432-0025 x38900","[""684c124eb1e0125c6d6db393"",""684c124eb1e0125c6d6db323"",""684c124eb1e0125c6d6db47a"",""684c124db1e0125c6d6daf75"",""684c124eb1e0125c6d6db676""]","[""684c124eb1e0125c6d6db2a2""]","Port Said",22812.74,"user","[]","2025-06-13T11:58:04.413Z",0
"684c124cb1e0125c6d6dac67","mirna.nasser","Mirna_Nasser@gmail.com","$2b$10$6vDnWaUKy9WSdqBf1sAen.Ei9g8siv5yPVEpLXyP4KYXdei7e1Vqy",1982,"470.300.6481","[""684c124eb1e0125c6d6db453"",""684c124db1e0125c6d6db0e4"",""684c124db1e0125c6d6db0a3"",""684c124eb1e0125c6d6db2ac"",""684c124db1e0125c6d6dae9a""]","[""684c124eb1e0125c6d6db29b""]","Banha",19209.48,"user","[]","2025-06-13T11:58:04.413Z",0
"684c124cb1e0125c6d6dac68","lamees.kassem","Lamees.Kassem31@hotmail.com","$2b$10$6AnZ663f4lWpK.KanOSSMuJqgKPQh3NynYGC6N4/L8VU7gsEi7qIm",1975,"1-278-395-5334 x82465","[""684c124db1e0125c6d6db0cf"",""684c124eb1e0125c6d6db30c"",""684c124db1e0125c6d6dae70"",""684c124db1e0125c6d6db103"",""684c124eb1e0125c6d6db230""]","[""684c124db1e0125c6d6db006"",""684c124db1e0125c6d6db1a1"",""684c124eb1e0125c6d6db3d5""]","Minya",8772.28,"user","[]","2025-06-13T11:58:04.415Z",0
"684c124cb1e0125c6d6dac69","souad.hamdy","Souad.Hamdy92@hotmail.com","$2b$10$3.Xqjr9LvzgVA.t0dWqyK.91.2PokNJbgFXhZ/aGA4mZnf3JI8Chq",1982,"1-626-531-6027","[""684c124eb1e0125c6d6db506"",""684c124db1e0125c6d6db088"",""684c124db1e0125c6d6db1cb"",""684c124db1e0125c6d6daeb1"",""684c124eb1e0125c6d6db4a5""]","[""684c124db1e0125c6d6db01c""]","Kafr El Sheikh",5093.63,"user","[]","2025-06-13T11:58:04.416Z",0
"684c124cb1e0125c6d6dac6a","jana.awadallah","Jana.Awadallah82@yahoo.com","$2b$10$FLHsrUhKDYI.qRQjiiUGFOhVEou26POLZ.ZL7C7PILTPz0ZkDdwGS",1966,"(409) 421-9627","[""684c124db1e0125c6d6daead"",""684c124eb1e0125c6d6db5f4"",""684c124eb1e0125c6d6db4b1"",""684c124eb1e0125c6d6db1fa"",""684c124db1e0125c6d6db0f7""]","[""684c124eb1e0125c6d6db757""]","Marsa Matruh",21565.53,"user","[]","2025-06-13T11:58:04.416Z",0
